iso3,year,pop,c.newinc
BGR,1999,8067005,3530
BGR,2000,7997951,3349
BGR,2001,7930700,3862
BGR,2002,7866242,3335
BGR,2003,7804306,3263
BGR,2004,7744630,3025
BGR,2005,7686964,3225
BGR,2006,7631020,3136
BGR,2007,7576675,2848
BGR,2008,7524084,2944
BGR,2009,7473509,2655
BGR,2010,7425011,2412
BGR,2011,7378652,2171
BGR,2012,7334007,2081
BGR,2013,7290092,1930
BGR,2014,7245648,1825
BGR,2015,7199739,1619
BGR,2016,7151948,1525
BGR,2017,7102452,1408
BGR,2018,7051610,1290
BGR,2019,7000117,1288
BGR,2020,6948445,
BHR,1980,359897,219
BHR,1981,374120,262
BHR,1982,385953,156
BHR,1983,396451,232
BHR,1984,407233,208
BHR,1985,419428,194
BHR,1986,433478,156
BHR,1987,448981,120
BHR,1988,465198,142
BHR,1989,481081,122
BHR,1990,495927,117
BHR,1991,509762,142
BHR,1992,523082,140
BHR,1993,536212,114
BHR,1994,549590,
BHR,1995,563698,43
BHR,1996,578661,49
BHR,1997,594927,45
BHR,1998,613697,83
BHR,1999,636540,145
BHR,2000,664610,207
BHR,2001,697550,188
BHR,2002,735140,191
BHR,2003,778708,261
BHR,2004,829846,244
BHR,2005,889157,280
BHR,2006,958423,278
BHR,2007,1035924,296
BHR,2008,1114645,304
BHR,2009,1185075,326
BHR,2010,1240864,246
BHR,2011,1278153,225
BHR,2012,1299942,225
BHR,2013,1315029,209
BHR,2014,1336073,
BHR,2015,1371853,
BHR,2016,1425793,154
BHR,2017,1494077,150
BHR,2018,1569440,154
BHR,2019,1641164,178
BHR,2020,1701583,193
BHS,1980,210589,70
BHS,1981,215321,67
BHS,1982,220182,54
BHS,1983,225095,58
BHS,1984,229913,53
BHS,1985,234579,63
BHS,1986,239020,52
BHS,1987,243265,43
BHS,1988,247451,51
BHS,1989,251738,52
BHS,1990,256227,46
BHS,1991,261007,53
BHS,1992,266028,63
BHS,1993,271065,60
BHS,1994,275849,78
BHS,1995,280179,57
BHS,1996,283980,59
BHS,1997,287363,88
BHS,1998,290600,75
BHS,1999,294063,76
BHS,2000,298045,82
BHS,2001,302618,
BHS,2002,307657,44
BHS,2003,313123,38
BHS,2004,318893,53
BHS,2005,324848,48
BHS,2006,331032,60
BHS,2007,337387,46
BHS,2008,343680,49
BHS,2009,349600,45
BHS,2010,354936,31
BHS,2011,359583,41
BHS,2012,363581,32
BHS,2013,367162,33
BHS,2014,370625,50
BHS,2015,374200,62
BHS,2016,377923,89
BHS,2017,381749,51
BHS,2018,385635,47
BHS,2019,389486,51
BHS,2020,393248,31
BIH,1980,4179850,4421
BIH,1981,4222479,4376
BIH,1982,4265183,4678
BIH,1983,4307907,4468
BIH,1984,4350566,4691
BIH,1985,4392135,4666
BIH,1986,4435925,4605
BIH,1987,4479516,4522
BIH,1988,4509462,4093
BIH,1989,4507819,4176
BIH,1990,4463422,4073
BIH,1991,4369320,3546
BIH,1992,4233673,600
BIH,1993,4078940,680
BIH,1994,3936527,1595
BIH,1995,3829049,2132
BIH,1996,3764419,2220
BIH,1997,3736070,2869
BIH,1998,3734338,2711
BIH,1999,3743353,2923
BIH,2000,3751176,2476
BIH,2001,3755514,2469
BIH,2002,3759389,1691
BIH,2003,3762179,1780
BIH,2004,3764194,2353
BIH,2005,3765332,2111
BIH,2006,3765422,1778
BIH,2007,3762791,2373
BIH,2008,3754261,1719
BIH,2009,3735945,1725
BIH,2010,3705478,1321
BIH,2011,3661173,1360
BIH,2012,3604972,1409
BIH,2013,3542598,1261
BIH,2014,3482106,1196
BIH,2015,3429362,1092
BIH,2016,3386263,907
BIH,2017,3351534,766
BIH,2018,3323929,666
BIH,2019,3300998,580
BIH,2020,3280815,357
BLR,1980,9569847,5954
BLR,1981,9636152,6198
BLR,1982,9703088,5468
BLR,1983,9770125,5509
BLR,1984,9836582,5065
BLR,1985,9901493,4873
BLR,1986,9965178,4128
BLR,1987,10026470,3911
BLR,1988,10081209,3769
BLR,1989,10124000,3708
BLR,1990,10151135,3039
BLR,1991,10160785,3745
BLR,1992,10154338,2414
BLR,1993,10135133,4134
BLR,1994,10108280,4348
BLR,1995,10077606,4854
BLR,1996,10044854,5598
BLR,1997,10009393,5985
BLR,1998,9969986,6150
BLR,1999,9924440,7339
BLR,2000,9871635,6799
BLR,2001,9811399,5505
BLR,2002,9745932,5139
BLR,2003,9679235,5963
BLR,2004,9616628,5443
BLR,2005,9562083,5308
BLR,2006,9516884,5142
BLR,2007,9480514,5351
BLR,2008,9452855,5126
BLR,2009,9433159,5250
BLR,2010,9420576,5098
BLR,2011,9415316,4697
BLR,2012,9417045,4783
BLR,2013,9423502,4470
BLR,2014,9431742,3858
BLR,2015,9439424,3765
BLR,2016,9445638,3211
BLR,2017,9450233,2781
BLR,2018,9452615,2359
BLR,2019,9452409,2207
BLR,2020,9449321,1514
BLZ,1980,144142,21
BLZ,1981,147572,33
BLZ,1982,151486,44
BLZ,1983,155820,140
BLZ,1984,160341,35
BLZ,1985,164918,25
BLZ,1986,169569,23
BLZ,1987,174333,41
BLZ,1988,179023,28
BLZ,1989,183471,30
BLZ,1990,187554,57
BLZ,1991,191136,89
BLZ,1992,194324,65
BLZ,1993,197625,80
BLZ,1994,201679,59
BLZ,1995,206962,95
BLZ,1996,213660,99
BLZ,1997,221575,107
BLZ,1998,230248,123
BLZ,1999,238979,104
BLZ,2000,247310,106
BLZ,2001,255068,136
BLZ,2002,262387,135
BLZ,2003,269428,99
BLZ,2004,276516,83
BLZ,2005,283798,102
BLZ,2006,291338,85
BLZ,2007,299031,63
BLZ,2008,306822,88
BLZ,2009,314655,88
BLZ,2010,322465,145
BLZ,2011,330236,74
BLZ,2012,338001,84
BLZ,2013,345707,121
BLZ,2014,353366,72
BLZ,2015,360926,78
BLZ,2016,368399,120
BLZ,2017,375775,117
BLZ,2018,383071,99
BLZ,2019,390351,91
BLZ,2020,397621,78
BMU,1980,57580,1
BMU,1981,57987,2
BMU,1982,58390,5
BMU,1983,58785,10
BMU,1984,59181,3
BMU,1985,59594,3
BMU,1986,60011,6
BMU,1987,60422,2
